node_idx,token,display_token,final_importance,layer_evolution,growth_rate
5,congratulations,congratulations,10.397899627685547,"[4.880075454711914, 10.821146965026855, 12.076385498046875, 10.397899627685547]",2.1306841373443604
6,on,on,7.988095760345459,"[4.9547834396362305, 8.539734840393066, 9.949209213256836, 7.988095760345459]",1.6121987104415894
13,sure,sure,7.758020401000977,"[5.312359809875488, 8.459394454956055, 11.001701354980469, 7.758020401000977]",1.460371732711792
17,moving,moving,7.634946823120117,"[6.0535712242126465, 7.7282586097717285, 9.53664493560791, 7.634946823120117]",1.261230230331421
7,stating,stating,7.6332573890686035,"[4.95396614074707, 7.4506120681762695, 9.469017028808594, 7.6332573890686035]",1.5408376455307007
8,the,the,7.593491554260254,"[4.079005718231201, 7.081212520599365, 9.305829048156738, 7.593491554260254]",1.8616034984588623
12,am,am,7.306545257568359,"[4.5355224609375, 9.10986614227295, 9.943732261657715, 7.306545257568359]",1.6109600067138672
16,start,start,7.2068071365356445,"[5.90180778503418, 7.910315036773682, 9.674444198608398, 7.2068071365356445]",1.2211185693740845
18,any,any,7.180318355560303,"[5.76493501663208, 7.523026943206787, 8.861504554748535, 7.180318355560303]",1.2455159425735474
9,obvious,obvious,7.146612644195557,"[3.6295673847198486, 6.672517776489258, 9.180158615112305, 7.146612644195557]",1.9689984321594238
11,i,i,7.117363929748535,"[5.447964668273926, 8.172233581542969, 9.635356903076172, 7.117363929748535]",1.3064262866973877
10,.,.,7.101311683654785,"[5.330958843231201, 6.5875139236450195, 9.45545768737793, 7.101311683654785]",1.3320890665054321
14,glaciers,glaciers,6.993124008178711,"[4.719659805297852, 7.820446014404297, 10.169108390808105, 6.993124008178711]",1.4817008972167969
19,minute,minute,6.81332540512085,"[5.335178852081299, 7.615298271179199, 8.236139297485352, 6.81332540512085]",1.2770565748214722
20,now,now,6.813324928283691,"[5.335178852081299, 7.615298748016357, 8.236139297485352, 6.813324928283691]",1.2770565748214722
15,will,will,6.6040449142456055,"[5.329041004180908, 7.5681867599487305, 9.330375671386719, 6.6040449142456055]",1.2392557859420776
